transaction_id,customer_id,timestamp,amount,channel,country,ground_truth_label
TX_5644445498,CUST_1078,2026-05-25 22:47:38,434.12,CASH_DEPOSIT,US,NORMAL
TX_3095520970,CUST_1127,2026-05-25 22:54:36,24.3,ACH,US,NORMAL
TX_7406579219,CUST_1267,2026-05-25 22:55:33,1333.56,WIRE_TRANSFER,US,NORMAL
TX_8624454880,CUST_1371,2026-05-25 23:10:00,30.03,CASH_DEPOSIT,US,NORMAL
TX_3279276904,CUST_1436,2026-05-25 23:20:30,1140.72,CASH_DEPOSIT,US,NORMAL
TX_5412340714,CUST_1257,2026-05-25 23:30:38,900.62,WIRE_TRANSFER,US,NORMAL
TX_7057014664,CUST_1038,2026-05-25 23:32:05,30.67,ACH,US,NORMAL
TX_3156385468,CUST_1174,2026-05-25 23:41:59,530.07,WIRE_TRANSFER,US,NORMAL
TX_8789808241,CUST_1194,2026-05-25 23:47:35,287.56,CASH_DEPOSIT,CA,NORMAL
TX_8710494605,CUST_1128,2026-05-25 23:51:52,1003.99,ONLINE_PAYMENT,US,NORMAL
TX_7724905086,CUST_1026,2026-05-25 23:57:34,337.09,ACH,US,NORMAL
TX_4611538856,CUST_1030,2026-05-25 23:58:33,517.23,ONLINE_PAYMENT,GB,NORMAL
TX_6047492786,CUST_1147,2026-05-26 00:02:48,117.79,ONLINE_PAYMENT,US,NORMAL
TX_4387598265,CUST_1457,2026-05-26 00:05:59,139.26,CASH_DEPOSIT,US,NORMAL
TX_8443359717,CUST_1025,2026-05-26 00:12:22,822.47,ACH,US,NORMAL
TX_8484081728,CUST_1457,2026-05-26 00:13:31,765.56,CASH_DEPOSIT,US,NORMAL
TX_9645619869,CUST_1397,2026-05-26 00:23:17,127.27,ONLINE_PAYMENT,US,NORMAL
TX_4231244980,CUST_1498,2026-05-26 00:37:21,186.71,CASH_DEPOSIT,US,NORMAL
TX_9068916300,CUST_1360,2026-05-26 00:40:33,563.15,ACH,US,NORMAL
TX_4796865162,CUST_1003,2026-05-26 00:59:24,359.85,ONLINE_PAYMENT,DE,NORMAL
TX_3366355159,CUST_1416,2026-05-26 01:02:36,19.1,ONLINE_PAYMENT,US,NORMAL
TX_7293006283,CUST_1312,2026-05-26 01:06:03,118.48,WIRE_TRANSFER,US,NORMAL
TX_7522217584,CUST_1086,2026-05-26 01:15:00,826.22,ACH,GB,NORMAL
TX_9405519914,CUST_1464,2026-05-26 01:16:04,1118.44,ONLINE_PAYMENT,US,NORMAL
TX_1751536075,CUST_1076,2026-05-26 01:20:26,990.14,ONLINE_PAYMENT,DE,NORMAL
TX_9433203404,CUST_1147,2026-05-26 02:01:45,46.26,ACH,US,NORMAL
TX_4853396111,CUST_1058,2026-05-26 02:05:44,292.56,ONLINE_PAYMENT,MX,NORMAL
TX_4062777850,CUST_1388,2026-05-26 02:07:03,484.11,ONLINE_PAYMENT,DE,NORMAL
TX_6536109918,CUST_1102,2026-05-26 02:08:32,667.5,ONLINE_PAYMENT,US,NORMAL
TX_4870280937,CUST_1449,2026-05-26 02:10:58,354.93,WIRE_TRANSFER,MX,NORMAL
TX_1315686781,CUST_1354,2026-05-26 02:13:26,405.17,WIRE_TRANSFER,CA,NORMAL
TX_2578662692,CUST_1314,2026-05-26 02:21:21,1825.1,ACH,MX,NORMAL
TX_7573120172,CUST_1049,2026-05-26 02:23:21,466.91,CASH_DEPOSIT,US,NORMAL
TX_7393195616,CUST_1266,2026-05-26 02:39:06,802.83,WIRE_TRANSFER,US,NORMAL
